2022/09/06-00:55:04 - ML.py - run_animation_ca - DEBUG - Initial:
_____________________________________________________________________
|   Car    |   Lane   |   Position   |   Velocity   |   Max Speed   |
|   155    |      2   |   51.00000   |   0.000000   |   2.0000000   |
|   156    |      3   |   51.00000   |   0.000000   |   2.0000000   |
|   157    |      1   |   52.00000   |   0.000000   |   2.0000000   |
|   158    |      2   |   52.00000   |   0.000000   |   2.0000000   |
|   159    |      3   |   52.00000   |   0.000000   |   2.0000000   |
|   160    |      1   |   53.00000   |   0.000000   |   2.0000000   |
|   161    |      2   |   53.00000   |   0.000000   |   2.0000000   |
|   162    |      3   |   53.00000   |   0.000000   |   2.0000000   |
|   163    |      1   |   54.00000   |   0.000000   |   2.0000000   |
|   164    |      2   |   54.00000   |   0.000000   |   2.0000000   |
|   165    |      3   |   54.00000   |   0.000000   |   2.0000000   |
|   166    |      1   |   55.00000   |   0.000000   |   2.0000000   |
|   167    |      2   |   55.00000   |   0.000000   |   2.0000000   |
|   168    |      3   |   55.00000   |   0.000000   |   2.0000000   |
|   169    |      1   |   56.00000   |   0.000000   |   2.0000000   |
|   170    |      2   |   56.00000   |   0.000000   |   2.0000000   |
|   171    |      3   |   56.00000   |   0.000000   |   2.0000000   |
|   172    |      1   |   57.00000   |   0.000000   |   2.0000000   |
|   173    |      2   |   57.00000   |   0.000000   |   2.0000000   |
|   174    |      3   |   57.00000   |   0.000000   |   2.0000000   |
|   175    |      1   |   58.00000   |   0.000000   |   2.0000000   |
|   176    |      2   |   58.00000   |   0.000000   |   2.0000000   |
|   177    |      3   |   58.00000   |   0.000000   |   2.0000000   |
|   178    |      1   |   59.00000   |   0.000000   |   2.0000000   |
|   179    |      2   |   59.00000   |   0.000000   |   2.0000000   |
|   180    |      3   |   59.00000   |   0.000000   |   2.0000000   |
|   181    |      1   |   60.00000   |   0.000000   |   2.0000000   |
|   182    |      2   |   60.00000   |   0.000000   |   2.0000000   |
|   183    |      3   |   60.00000   |   0.000000   |   2.0000000   |
|   184    |      1   |   61.00000   |   0.000000   |   2.0000000   |
|   185    |      2   |   61.00000   |   0.000000   |   2.0000000   |
|   186    |      3   |   61.00000   |   0.000000   |   2.0000000   |
|   187    |      1   |   62.00000   |   0.000000   |   2.0000000   |
|   188    |      2   |   62.00000   |   0.000000   |   2.0000000   |
|   189    |      3   |   62.00000   |   0.000000   |   2.0000000   |
|   190    |      1   |   63.00000   |   0.000000   |   2.0000000   |
|   191    |      2   |   63.00000   |   0.000000   |   2.0000000   |
|   192    |      3   |   63.00000   |   0.000000   |   2.0000000   |
|   193    |      1   |   64.00000   |   0.000000   |   2.0000000   |
|   194    |      2   |   64.00000   |   0.000000   |   2.0000000   |
|   195    |      3   |   64.00000   |   0.000000   |   2.0000000   |
|   196    |      1   |   65.00000   |   0.000000   |   2.0000000   |
|   197    |      2   |   65.00000   |   0.000000   |   2.0000000   |
|   198    |      3   |   65.00000   |   0.000000   |   2.0000000   |
|   199    |      1   |   66.00000   |   0.000000   |   2.0000000   |
|   200    |      2   |   66.00000   |   0.000000   |   2.0000000   |
|   201    |      3   |   66.00000   |   0.000000   |   2.0000000   |
|   202    |      1   |   67.00000   |   0.000000   |   2.0000000   |
|   203    |      2   |   67.00000   |   0.000000   |   2.0000000   |
|   204    |      3   |   67.00000   |   0.000000   |   2.0000000   |
|   205    |      1   |   68.00000   |   0.000000   |   2.0000000   |
|   206    |      2   |   68.00000   |   0.000000   |   2.0000000   |
|   207    |      3   |   68.00000   |   0.000000   |   2.0000000   |
|   208    |      1   |   69.00000   |   0.000000   |   2.0000000   |
|   209    |      2   |   69.00000   |   0.000000   |   2.0000000   |
|   210    |      3   |   69.00000   |   0.000000   |   2.0000000   |
|   211    |      1   |   70.00000   |   0.000000   |   2.0000000   |
|   212    |      2   |   70.00000   |   0.000000   |   2.0000000   |
|   213    |      3   |   70.00000   |   0.000000   |   2.0000000   |
|   214    |      1   |   71.00000   |   0.000000   |   2.0000000   |
|   215    |      2   |   71.00000   |   0.000000   |   2.0000000   |
|   216    |      3   |   71.00000   |   0.000000   |   2.0000000   |
|   217    |      1   |   72.00000   |   0.000000   |   2.0000000   |
|   218    |      2   |   72.00000   |   0.000000   |   2.0000000   |
|   219    |      3   |   72.00000   |   0.000000   |   2.0000000   |
|   220    |      1   |   73.00000   |   0.000000   |   2.0000000   |
|   221    |      2   |   73.00000   |   0.000000   |   2.0000000   |
|   222    |      3   |   73.00000   |   0.000000   |   2.0000000   |
|   223    |      1   |   74.00000   |   0.000000   |   2.0000000   |
|   224    |      2   |   74.00000   |   0.000000   |   2.0000000   |
|   225    |      3   |   74.00000   |   0.000000   |   2.0000000   |
|   226    |      1   |   75.00000   |   0.000000   |   2.0000000   |
|   227    |      2   |   75.00000   |   0.000000   |   2.0000000   |
|   228    |      3   |   75.00000   |   0.000000   |   2.0000000   |
|   229    |      1   |   76.00000   |   0.000000   |   2.0000000   |
|   230    |      2   |   76.00000   |   0.000000   |   2.0000000   |
|   231    |      3   |   76.00000   |   0.000000   |   2.0000000   |
|   232    |      1   |   77.00000   |   0.000000   |   2.0000000   |
|   233    |      2   |   77.00000   |   0.000000   |   2.0000000   |
|   234    |      3   |   77.00000   |   0.000000   |   2.0000000   |
|   235    |      1   |   78.00000   |   0.000000   |   2.0000000   |
|   236    |      2   |   78.00000   |   0.000000   |   2.0000000   |
|   237    |      3   |   78.00000   |   0.000000   |   2.0000000   |
|   238    |      1   |   79.00000   |   0.000000   |   2.0000000   |
|   239    |      2   |   79.00000   |   0.000000   |   2.0000000   |
|   240    |      3   |   79.00000   |   0.000000   |   2.0000000   |
|   241    |      1   |   80.00000   |   0.000000   |   2.0000000   |
|   242    |      2   |   80.00000   |   0.000000   |   2.0000000   |
|   243    |      3   |   80.00000   |   0.000000   |   2.0000000   |
|   244    |      1   |   81.00000   |   0.000000   |   2.0000000   |
|   245    |      2   |   81.00000   |   0.000000   |   2.0000000   |
|   246    |      3   |   81.00000   |   0.000000   |   2.0000000   |
|   247    |      1   |   82.00000   |   0.000000   |   2.0000000   |
|   248    |      2   |   82.00000   |   0.000000   |   2.0000000   |
|   249    |      3   |   82.00000   |   0.000000   |   2.0000000   |
|   250    |      1   |   83.00000   |   0.000000   |   2.0000000   |
|   251    |      2   |   83.00000   |   0.000000   |   2.0000000   |
